City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Mumbai,2015-09-22,299.3,524.3,97.0,51.7,70.1,32.3,4.81,49.6,103.8,9.42,20.55,3.81,463.0,Poor
Chennai,2015-09-22,407.6,88.9,196.4,9.3,43.9,41.8,6.08,57.3,55.9,18.74,16.56,6.71,342.7,Satisfactory
Kolkata,2015-09-22,368.1,530.4,13.1,143.7,39.0,19.9,8.84,30.7,188.2,16.97,6.61,3.74,183.0,Severe
Bangalore,2015-09-22,254.4,258.3,57.7,50.3,18.0,45.4,1.26,92.5,151.5,7.53,8.34,5.66,320.2,Satisfactory
Delhi,2015-09-23,263.9,206.6,168.0,102.9,209.4,26.4,4.4,55.7,47.1,13.65,20.45,1.75,207.4,Severe
Mumbai,2015-09-23,484.5,104.1,166.9,80.4,134.4,24.3,0.79,88.9,74.1,13.48,2.34,3.19,407.4,Severe
Chennai,2015-09-23,358.1,566.8,196.7,27.6,94.8,36.5,6.49,74.1,37.5,3.34,3.71,5.93,169.3,Good
Kolkata,2015-09-23,215.4,122.7,199.6,66.7,96.5,31.3,6.09,81.3,77.4,17.74,4.1,8.04,132.1,Satisfactory
Bangalore,2015-09-23,338.0,435.4,116.3,49.7,17.5,4.2,4.0,22.8,152.8,17.16,19.55,2.24,121.6,Poor
Delhi,2015-09-24,272.3,74.5,23.8,108.9,173.1,40.7,9.84,72.9,150.3,3.32,20.38,3.46,141.7,Satisfactory
Mumbai,2015-09-24,200.4,299.8,200.0,104.9,9.6,25.4,5.95,1.0,63.3,10.21,25.42,2.74,140.9,Satisfactory
Chennai,2015-09-24,444.8,222.7,116.5,111.9,196.1,45.5,7.43,58.5,154.1,17.44,15.9,5.68,99.4,Moderate
Kolkata,2015-09-24,18.6,545.1,41.0,90.7,94.2,41.0,4.75,29.4,189.5,11.3,5.0,0.75,164.4,Very Poor
Bangalore,2015-09-24,193.8,567.8,2.4,101.1,8.5,18.1,3.4,88.8,141.0,13.72,8.7,4.64,300.1,Poor
Delhi,2015-09-25,75.1,396.0,115.0,65.1,188.6,39.1,5.04,59.5,132.4,10.73,16.92,0.63,283.9,Very Poor
Mumbai,2015-09-25,52.2,563.4,137.8,64.4,165.0,15.3,5.16,13.1,83.5,15.8,14.32,5.03,420.6,Severe
Chennai,2015-09-25,58.7,128.7,157.6,31.3,63.1,34.6,1.02,76.8,168.4,13.33,8.14,3.01,432.5,Very Poor
Kolkata,2015-09-25,79.4,455.6,166.8,127.1,6.5,47.0,7.85,19.6,83.9,8.69,5.84,4.23,355.7,Good
Bangalore,2015-09-25,414.2,489.5,94.2,113.9,58.8,41.7,1.81,21.8,133.9,4.39,8.43,6.36,144.5,Poor
Delhi,2015-09-26,150.9,179.5,162.3,86.7,236.6,26.3,5.3,99.3,193.0,16.3,1.61,9.85,96.4,Very Poor
Mumbai,2015-09-26,471.8,132.0,107.1,70.8,83.0,42.2,0.2,48.8,100.2,10.94,6.32,8.73,332.5,Satisfactory
Chennai,2015-09-26,157.4,476.7,54.4,100.0,201.2,3.1,0.09,17.8,96.0,3.26,23.6,6.34,246.2,Severe
Kolkata,2015-09-26,488.3,573.0,25.3,71.0,194.7,11.1,8.3,62.4,31.6,9.79,12.97,4.3,121.7,Moderate
Bangalore,2015-09-26,185.5,408.9,28.6,112.0,104.2,43.6,8.37,67.9,147.5,5.84,19.91,0.47,216.9,Severe
Delhi,2015-09-27,107.4,7.4,86.0,129.0,150.5,20.4,2.47,82.1,28.2,1.96,13.95,3.84,366.6,Moderate
Mumbai,2015-09-27,488.7,385.6,41.4,81.5,113.7,46.2,7.19,49.2,79.5,15.49,10.63,5.53,343.8,Very Poor
Chennai,2015-09-27,354.2,193.1,147.8,3.7,234.7,36.0,4.42,75.9,56.6,16.89,10.39,3.91,194.0,Very Poor
Kolkata,2015-09-27,252.8,200.2,76.1,13.8,55.1,36.0,5.5,28.0,14.4,15.61,17.1,0.5,141.3,Very Poor
Bangalore,2015-09-27,210.3,166.7,149.0,101.6,26.7,15.3,6.71,75.4,64.2,18.26,7.85,8.76,132.6,Severe
Delhi,2015-09-28,391.2,12.6,84.9,41.5,143.7,10.8,1.98,68.4,162.7,16.61,28.67,3.96,197.3,Moderate
Mumbai,2015-09-28,207.9,91.7,88.7,64.3,133.4,20.1,4.56,65.1,64.2,2.11,18.2,9.38,99.5,Satisfactory
Chennai,2015-09-28,490.3,91.5,148.2,39.8,178.3,18.6,1.9,64.7,167.6,9.23,15.64,4.04,280.2,Poor
Kolkata,2015-09-28,494.4,51.1,192.9,8.1,157.0,26.4,3.02,71.7,56.8,11.01,24.95,9.68,189.0,Severe
Bangalore,2015-09-28,464.3,285.6,165.0,39.8,163.4,49.9,4.02,45.9,170.1,16.11,9.7,2.43,1.7,Moderate
Delhi,2015-09-29,102.3,117.7,130.5,106.0,73.4,37.0,9.49,29.1,49.8,7.61,6.1,7.6,26.8,Severe
Mumbai,2015-09-29,289.3,574.6,160.0,115.0,152.9,47.5,5.01,91.9,43.7,0.66,2.12,0.08,206.1,Poor
Chennai,2015-09-29,340.8,360.3,172.8,33.6,173.6,42.5,4.38,37.7,6.5,5.26,18.21,6.57,477.5,Good
Kolkata,2015-09-29,101.1,408.9,22.3,44.4,39.0,12.9,5.16,16.8,9.8,4.49,13.32,1.54,165.1,Poor
Bangalore,2015-09-29,361.8,20.7,154.5,126.0,128.5,11.7,5.94,19.5,101.7,14.9,0.4,7.5,187.8,Moderate
Delhi,2015-09-30,116.5,50.6,166.3,61.8,137.7,42.1,10.0,23.6,3.4,8.07,21.88,8.69,186.2,Satisfactory
Mumbai,2015-09-30,32.9,175.4,179.9,69.0,128.1,4.0,8.18,10.4,100.8,1.9,7.92,5.76,119.0,Good
Chennai,2015-09-30,83.6,510.3,196.5,18.4,84.3,49.5,6.45,65.6,20.1,16.41,7.03,4.91,38.6,Satisfactory
Kolkata,2015-09-30,230.0,503.6,41.4,134.6,209.7,4.1,5.0,96.4,147.6,5.19,16.97,5.54,437.8,Moderate
Bangalore,2015-09-30,489.1,491.0,52.1,0.9,18.1,28.9,1.91,58.0,33.9,13.48,5.53,4.13,494.1,Severe
Delhi,2015-10-01,120.8,581.9,5.9,129.4,214.2,3.9,5.35,46.4,17.4,2.73,9.6,4.66,109.1,Poor
Mumbai,2015-10-01,110.7,483.8,71.6,128.2,240.8,18.5,4.33,55.2,6.5,8.76,11.74,0.44,129.0,Poor
Chennai,2015-10-01,113.9,207.9,75.6,27.0,66.9,32.0,6.45,57.0,178.0,0.49,27.98,0.21,4.2,Severe
Kolkata,2015-10-01,180.4,14.2,39.8,131.0,70.9,25.4,0.65,6.9,57.6,9.95,20.13,5.91,353.5,Poor
Bangalore,2015-10-01,470.4,535.2,37.9,91.5,144.9,45.0,8.38,60.2,50.7,13.44,28.85,8.61,229.2,Satisfactory
Delhi,2015-10-02,358.0,293.5,84.2,83.8,58.7,39.7,5.11,64.5,119.7,3.87,1.39,4.48,203.4,Satisfactory
Mumbai,2015-10-02,442.9,163.7,4.0,123.7,17.2,24.3,4.67,86.8,54.1,0.87,22.23,5.56,57.9,Poor
Chennai,2015-10-02,104.5,592.1,119.0,85.0,235.4,11.7,0.01,97.2,187.0,8.37,20.61,5.56,54.0,Moderate
Kolkata,2015-10-02,487.5,202.1,170.5,141.1,27.6,8.9,0.56,88.5,190.6,18.77,11.47,1.4,168.8,Good
Bangalore,2015-10-02,132.7,103.3,147.0,53.8,150.6,44.8,5.94,66.1,105.4,5.06,15.27,5.42,58.4,Good
Delhi,2015-10-03,8.3,273.9,149.1,136.1,61.6,9.1,2.21,63.7,25.4,17.1,11.98,5.34,365.3,Poor
Mumbai,2015-10-03,106.0,550.1,55.8,111.8,221.6,42.9,6.68,67.3,166.1,9.51,9.01,9.11,446.0,Good
Chennai,2015-10-03,36.9,280.2,51.9,13.9,89.3,34.1,9.76,94.4,26.3,4.5,13.56,1.84,249.3,Good
Kolkata,2015-10-03,115.5,574.1,110.0,6.6,151.4,35.2,1.16,1.8,39.4,18.46,2.23,5.37,459.5,Satisfactory
Bangalore,2015-10-03,402.1,472.6,37.4,101.4,210.9,33.4,9.47,22.5,142.5,4.88,25.62,0.65,5.6,Poor
Delhi,2015-10-04,14.6,272.6,117.3,100.7,75.1,5.9,7.95,73.6,142.6,6.4,10.32,6.66,293.0,Poor
Mumbai,2015-10-04,450.4,250.5,96.7,145.9,197.9,37.6,5.61,54.3,67.3,19.05,14.35,1.25,61.6,Satisfactory
Chennai,2015-10-04,499.9,88.2,67.4,139.6,206.4,17.7,1.36,0.3,65.8,5.33,14.38,6.43,269.5,Severe
Kolkata,2015-10-04,296.6,45.8,95.8,97.8,104.1,33.2,0.22,63.4,54.1,2.85,16.84,3.8,189.8,Poor
Bangalore,2015-10-04,200.7,61.0,159.9,14.7,86.5,29.6,8.58,55.4,13.4,13.43,16.23,0.57,327.4,Very Poor
Delhi,2015-10-05,37.6,542.5,32.2,94.4,231.5,11.3,0.69,68.3,17.9,19.97,8.51,1.95,49.3,Very Poor
Mumbai,2015-10-05,217.7,470.7,93.6,13.1,150.5,17.2,9.51,66.6,128.6,7.41,17.91,6.67,366.1,Poor
Chennai,2015-10-05,61.2,341.6,67.7,144.4,28.9,37.8,4.93,0.6,123.6,17.96,24.65,2.42,220.2,Very Poor
Kolkata,2015-10-05,115.6,519.7,182.4,120.2,33.3,23.3,0.74,56.8,31.6,4.54,28.18,9.11,250.3,Very Poor
Bangalore,2015-10-05,179.8,91.9,0.5,148.7,155.2,18.9,6.42,28.4,146.4,9.05,7.01,0.24,64.7,Good
Delhi,2015-10-06,197.6,458.2,132.2,113.8,201.0,31.0,5.98,65.3,71.5,17.09,24.62,7.22,392.2,Moderate
Mumbai,2015-10-06,478.0,264.5,127.6,133.7,65.2,9.6,5.86,21.3,192.6,12.95,19.79,6.78,108.4,Moderate
Chennai,2015-10-06,216.7,597.1,143.2,42.7,35.8,44.5,4.16,6.6,34.1,4.42,25.87,5.8,431.4,Satisfactory
Kolkata,2015-10-06,86.3,397.9,164.7,138.3,157.5,46.8,1.19,23.8,90.2,1.84,7.4,3.26,293.0,Moderate
Bangalore,2015-10-06,245.5,245.3,76.2,128.5,52.3,21.3,5.77,25.3,52.7,18.83,10.57,2.07,379.9,Good
Delhi,2015-10-07,448.9,40.3,88.0,23.7,129.1,8.4,4.38,63.6,17.0,0.7,6.29,6.67,379.0,Severe
Mumbai,2015-10-07,482.9,214.6,178.1,36.1,5.9,0.9,6.91,60.9,104.0,12.46,1.74,0.43,19.6,Very Poor
Chennai,2015-10-07,269.0,250.0,91.3,49.2,134.7,11.8,3.41,91.9,103.6,16.08,18.57,4.77,177.3,Moderate
Kolkata,2015-10-07,87.3,45.8,94.0,0.8,224.4,24.3,7.89,0.8,158.2,2.04,10.07,7.93,84.0,Good
Bangalore,2015-10-07,412.3,409.4,65.1,33.6,188.8,38.4,7.4,22.1,171.5,4.09,4.6,2.58,106.4,Satisfactory
Delhi,2015-10-08,131.7,580.9,79.9,98.8,18.0,5.4,4.84,81.7,173.6,7.81,2.77,3.92,359.2,Severe
Mumbai,2015-10-08,182.1,77.8,19.4,118.3,169.2,0.1,4.83,63.2,109.6,15.41,3.4,0.4,86.4,Severe
Chennai,2015-10-08,152.9,525.0,74.0,143.0,209.9,26.8,2.34,77.6,124.9,6.95,11.93,3.72,495.5,Satisfactory
Kolkata,2015-10-08,330.0,273.7,187.9,136.1,131.8,4.1,9.74,0.9,40.9,5.83,23.59,5.39,349.2,Moderate
Bangalore,2015-10-08,301.8,209.6,100.3,103.9,153.9,2.8,5.34,85.2,186.1,15.55,13.79,7.11,447.7,Satisfactory
Delhi,2015-10-09,489.1,428.2,157.6,119.4,69.1,22.6,4.58,76.6,114.7,13.57,22.7,9.99,224.9,Satisfactory
Mumbai,2015-10-09,104.9,52.9,118.9,10.0,102.7,17.9,7.4,51.9,111.0,1.65,9.18,9.55,108.5,Poor
Chennai,2015-10-09,204.8,150.5,96.2,113.3,183.7,9.4,0.53,57.5,109.2,8.74,13.77,5.22,91.0,Very Poor
Kolkata,2015-10-09,257.7,356.8,121.7,81.6,14.8,38.3,3.04,54.1,120.3,16.5,13.43,1.3,391.9,Satisfactory
Bangalore,2015-10-09,115.8,181.9,22.2,102.0,73.7,4.2,7.72,20.7,45.5,13.46,6.75,8.14,98.1,Very Poor
Delhi,2015-10-10,482.7,235.3,16.6,34.5,75.0,36.4,8.8,44.4,163.6,3.56,9.92,3.57,102.4,Poor
Mumbai,2015-10-10,333.5,486.2,198.4,29.0,151.6,29.5,1.22,71.1,124.0,0.58,16.48,1.56,44.1,Good
Chennai,2015-10-10,211.8,259.9,126.4,75.3,232.8,8.3,0.55,76.0,5.0,16.16,0.63,0.93,438.3,Satisfactory
Kolkata,2015-10-10,244.2,155.1,178.2,53.0,223.1,10.9,6.61,91.9,151.9,16.41,0.37,7.51,451.1,Moderate
Bangalore,2015-10-10,90.6,203.3,120.2,126.5,175.5,49.5,3.23,17.2,24.7,15.07,13.41,9.77,299.1,Satisfactory
Delhi,2015-10-11,156.0,349.6,181.4,139.1,134.9,34.6,3.7,26.2,134.5,10.42,27.08,3.38,179.7,Severe
Mumbai,2015-10-11,385.0,586.9,155.9,93.7,204.3,22.3,9.05,13.4,169.6,15.64,9.67,9.63,136.8,Moderate
Chennai,2015-10-11,444.0,491.4,17.1,19.7,247.9,17.4,0.73,7.4,178.7,13.65,16.93,4.14,99.4,Good
Kolkata,2015-10-11,432.4,87.2,65.7,89.2,128.5,43.3,6.76,39.2,156.1,4.83,0.56,3.72,193.6,Good
Bangalore,2015-10-11,440.8,72.2,42.9,92.5,158.7,16.5,6.86,13.8,134.8,10.13,26.97,2.02,88.9,Very Poor
Delhi,2015-10-12,33.1,163.1,68.1,112.6,142.4,15.1,4.85,53.3,193.6,11.82,22.46,4.03,21.1,Poor
Mumbai,2015-10-12,368.1,40.7,126.2,19.3,229.8,20.3,3.53,78.6,92.5,18.45,28.4,5.34,31.9,Severe
Chennai,2015-10-12,456.5,366.3,91.3,63.6,150.5,39.8,6.44,41.1,162.2,7.38,0.49,8.85,50.3,Poor
Kolkata,2015-10-12,472.2,469.1,118.1,110.3,226.6,1.7,7.44,54.2,167.4,10.05,12.84,8.93,168.6,Good
Bangalore,2015-10-12,260.7,207.5,169.1,112.9,102.1,22.9,7.79,16.9,62.4,13.29,18.27,3.57,22.2,Satisfactory
Delhi,2015-10-13,453.7,272.2,62.1,41.5,65.1,48.0,4.51,66.2,185.3,17.7,25.04,1.45,241.2,Very Poor
Mumbai,2015-10-13,259.8,469.8,119.7,115.7,16.3,35.6,2.19,63.6,83.8,12.14,5.01,7.59,69.2,Good
Chennai,2015-10-13,372.5,413.8,144.3,19.9,103.2,45.0,0.22,77.5,164.1,4.59,2.45,1.25,235.2,Very Poor
Kolkata,2015-10-13,262.9,435.3,67.3,96.2,1.5,29.4,3.36,93.2,92.2,4.01,21.95,4.31,150.6,Poor
Bangalore,2015-10-13,108.9,531.6,143.4,74.1,136.5,29.3,7.99,83.0,3.7,13.6,27.03,2.51,123.3,Satisfactory
Delhi,2015-10-14,174.5,437.6,31.7,3.4,76.7,21.2,3.77,41.7,109.6,7.8,12.3,6.44,191.2,Satisfactory
Mumbai,2015-10-14,368.1,293.5,88.9,131.0,215.3,5.9,2.32,65.1,118.1,6.92,16.85,7.46,41.5,Good
Chennai,2015-10-14,14.5,473.7,106.5,72.7,238.2,39.0,0.84,22.4,156.2,8.36,19.41,6.34,170.1,Satisfactory
Kolkata,2015-10-14,480.0,134.6,104.9,15.3,105.0,17.7,1.75,45.0,47.2,16.15,5.81,6.93,298.3,Poor
Bangalore,2015-10-14,240.8,138.1,109.6,51.2,141.5,27.1,7.91,69.2,40.8,8.79,24.68,3.98,40.9,Satisfactory
Delhi,2015-10-15,361.0,89.6,117.9,67.5,195.9,47.2,5.2,33.9,40.3,16.84,21.64,9.96,470.1,Severe
Mumbai,2015-10-15,71.8,549.4,89.9,24.6,14.2,48.6,0.79,50.4,192.1,8.31,14.19,7.62,478.1,Very Poor
Chennai,2015-10-15,402.7,98.0,76.0,91.1,112.2,29.7,6.8,70.5,165.6,7.5,10.0,6.8,460.3,Moderate
Kolkata,2015-10-15,233.2,534.6,159.1,75.7,54.7,2.6,5.89,25.6,80.6,3.3,5.15,6.27,146.7,Poor
Bangalore,2015-10-15,273.1,67.1,129.5,80.2,186.2,13.8,5.31,53.1,86.2,6.72,18.94,6.99,352.7,Severe
Delhi,2015-10-16,72.1,397.9,76.2,71.3,81.8,13.0,2.88,31.6,106.7,9.79,3.52,9.12,37.3,Poor
Mumbai,2015-10-16,337.8,212.2,178.2,117.4,135.6,2.0,7.0,52.6,146.3,5.07,5.88,5.53,398.4,Severe
Chennai,2015-10-16,36.3,588.9,121.7,12.4,53.0,32.1,9.7,75.8,177.5,4.39,17.97,1.49,348.9,Very Poor
Kolkata,2015-10-16,314.6,274.9,14.1,33.7,64.8,9.1,7.36,38.4,69.0,12.84,6.49,9.15,316.7,Very Poor
Bangalore,2015-10-16,456.7,42.0,16.4,105.4,174.1,43.6,1.56,15.2,93.8,3.25,15.85,8.5,227.9,Good
Delhi,2015-10-17,187.7,175.0,99.4,115.2,28.9,11.5,4.52,39.6,157.8,5.67,25.12,8.22,30.3,Satisfactory
Mumbai,2015-10-17,439.8,77.3,81.0,100.4,250.0,34.0,2.89,54.4,101.3,11.72,15.8,9.08,496.4,Satisfactory
Chennai,2015-10-17,10.0,128.9,84.7,23.2,209.4,1.0,7.42,40.2,111.5,9.3,4.16,5.89,8.8,Poor
Kolkata,2015-10-17,196.9,531.1,184.0,35.8,9.0,33.4,5.5,18.1,76.4,9.65,20.71,2.25,131.3,Good
Bangalore,2015-10-17,317.5,547.9,117.7,30.8,100.0,46.2,6.95,41.5,97.8,18.27,9.98,1.39,61.8,Poor
Delhi,2015-10-18,317.0,4.9,141.1,87.9,137.4,20.1,0.5,81.4,146.1,18.28,27.08,6.64,280.5,Moderate
Mumbai,2015-10-18,370.5,85.9,123.3,107.0,229.5,14.2,8.57,7.4,123.0,8.17,10.8,0.4,272.5,Good
Chennai,2015-10-18,16.5,372.0,64.4,39.2,151.4,27.2,6.09,68.3,64.1,18.33,22.22,7.43,334.0,Very Poor
Kolkata,2015-10-18,352.9,313.4,144.7,34.5,137.3,36.5,2.25,81.7,44.4,10.74,7.48,3.63,396.6,Severe
Bangalore,2015-10-18,181.4,40.9,122.0,1.9,154.5,32.7,7.49,34.6,67.4,17.24,24.27,2.43,34.0,Poor
Delhi,2015-10-19,49.1,366.2,173.4,15.3,203.4,19.1,4.02,9.2,124.1,17.88,25.93,9.71,57.5,Very Poor
Mumbai,2015-10-19,259.5,39.1,28.9,105.2,53.7,46.7,9.12,6.5,138.5,0.75,12.58,7.86,354.5,Satisfactory
Chennai,2015-10-19,454.7,497.0,126.0,120.9,113.4,25.4,0.15,60.7,116.5,1.97,28.35,9.96,148.4,Poor
Kolkata,2015-10-19,385.3,204.9,195.4,22.9,105.1,33.5,9.88,89.0,145.8,9.1,19.88,5.94,124.2,Severe
Bangalore,2015-10-19,322.7,235.9,182.2,134.8,156.4,18.7,1.41,59.1,59.5,14.04,28.32,9.75,451.8,Good
Delhi,2015-10-20,266.4,220.7,183.3,135.0,154.1,28.4,1.96,16.7,89.7,3.72,16.9,1.47,224.3,Moderate
Mumbai,2015-10-20,375.2,530.0,86.8,84.5,238.0,27.7,3.58,51.6,190.9,6.0,4.45,1.46,20.6,Satisfactory
Chennai,2015-10-20,119.1,556.1,136.9,118.2,183.7,21.9,6.77,78.6,71.3,11.0,15.98,6.69,99.8,Very Poor
Kolkata,2015-10-20,230.3,469.4,46.0,139.8,115.0,48.5,5.31,9.7,110.0,7.9,1.42,5.37,62.9,Moderate
Bangalore,2015-10-20,381.3,266.5,74.0,4.4,42.3,43.0,5.79,41.8,8.5,17.6,15.67,6.25,308.1,Satisfactory
Delhi,2015-10-21,370.4,584.1,58.6,65.8,180.8,24.2,2.08,83.4,23.2,18.65,25.54,1.41,45.7,Severe
Mumbai,2015-10-21,252.1,63.2,6.2,110.6,209.7,12.4,2.89,89.8,161.8,8.19,24.06,9.49,73.2,Moderate
Chennai,2015-10-21,4.8,376.9,46.7,52.3,162.5,24.6,2.04,41.4,113.8,0.44,4.33,6.65,176.4,Good
Kolkata,2015-10-21,346.5,379.3,93.2,76.4,27.2,0.6,6.84,3.2,148.1,19.84,21.95,3.74,16.7,Satisfactory
Bangalore,2015-10-21,62.5,213.3,192.4,111.8,244.5,3.1,7.65,43.6,83.8,10.92,15.58,2.62,151.6,Moderate
Delhi,2015-10-22,435.4,427.8,76.3,99.4,97.9,24.5,1.52,23.2,135.6,0.56,1.83,9.88,195.3,Very Poor
Mumbai,2015-10-22,73.5,483.7,189.0,46.3,172.2,29.3,0.47,53.7,30.1,4.84,20.83,2.49,314.0,Good
Chennai,2015-10-22,65.4,134.9,173.1,125.9,219.9,10.3,4.05,3.5,39.8,7.44,0.77,8.05,91.4,Good
Kolkata,2015-10-22,174.6,100.1,35.0,84.8,8.1,41.2,6.4,72.1,177.4,19.78,25.66,8.98,50.2,Poor
Bangalore,2015-10-22,178.3,403.2,34.9,32.7,155.9,14.5,1.18,70.2,114.3,6.42,20.35,2.04,167.7,Severe
Delhi,2015-10-23,492.2,276.0,17.8,32.1,83.9,39.2,3.61,69.2,178.8,0.99,14.6,3.29,294.0,Satisfactory
Mumbai,2015-10-23,224.6,385.4,3.5,70.5,237.2,43.9,8.34,4.6,71.6,18.99,0.03,2.78,43.1,Satisfactory
Chennai,2015-10-23,31.2,46.6,64.6,141.5,24.8,1.5,9.31,47.8,133.6,0.82,14.11,2.79,166.4,Moderate
Kolkata,2015-10-23,463.9,9.3,140.7,9.3,72.2,12.4,9.66,18.2,2.2,16.63,12.92,7.49,227.6,Severe
Bangalore,2015-10-23,166.7,311.8,26.9,73.9,211.9,31.8,2.02,15.2,174.9,16.41,8.34,1.83,273.7,Very Poor
Delhi,2015-10-24,424.2,419.6,114.5,41.5,118.1,39.6,0.43,75.0,62.7,16.99,29.25,3.82,314.4,Satisfactory
Mumbai,2015-10-24,202.5,402.5,56.8,0.9,194.7,32.0,6.49,90.3,107.3,19.87,10.24,2.81,203.7,Good
Chennai,2015-10-24,186.7,427.6,94.6,139.0,39.2,25.8,3.99,67.5,174.5,19.28,26.06,0.39,408.6,Good
Kolkata,2015-10-24,265.4,396.7,106.1,89.4,136.7,17.3,6.27,65.9,32.0,7.91,17.23,0.47,475.2,Moderate
Bangalore,2015-10-24,188.4,424.7,29.4,97.2,47.3,40.5,4.21,87.6,86.5,8.86,14.22,9.82,1.6,Moderate
Delhi,2015-10-25,48.5,280.5,187.9,45.5,76.0,26.4,5.3,93.3,132.4,5.51,22.23,9.32,212.1,Good
Mumbai,2015-10-25,441.0,522.7,28.6,65.5,114.1,15.0,5.29,87.2,28.8,18.08,2.95,2.21,45.1,Good
Chennai,2015-10-25,10.1,437.4,136.7,31.3,70.6,46.5,3.6,77.8,32.4,5.17,18.15,9.93,495.1,Good
Kolkata,2015-10-25,288.6,523.9,143.3,47.7,45.0,0.0,8.01,17.2,188.9,17.18,21.97,7.85,315.2,Poor
Bangalore,2015-10-25,133.7,452.1,197.3,108.1,162.6,31.4,1.55,66.9,12.6,19.94,25.09,3.01,286.9,Poor
Delhi,2015-10-26,217.4,362.6,148.6,5.0,70.9,45.7,3.27,7.9,123.2,16.59,5.88,4.39,48.5,Moderate
Mumbai,2015-10-26,497.0,432.3,153.0,20.3,176.3,43.7,1.46,11.8,180.7,0.1,8.68,3.37,455.3,Moderate
Chennai,2015-10-26,335.8,132.0,20.5,69.9,208.4,1.7,6.54,35.9,158.8,6.17,7.23,5.95,429.7,Good
Kolkata,2015-10-26,460.6,364.1,5.0,8.0,89.5,24.0,9.81,43.1,67.2,4.2,9.39,2.89,255.2,Moderate
Bangalore,2015-10-26,176.8,268.1,154.4,58.6,106.0,30.7,3.21,22.2,140.6,5.78,24.64,5.16,122.5,Very Poor
Delhi,2015-10-27,179.0,423.5,36.9,93.8,206.8,47.7,0.72,55.8,0.5,8.05,23.55,6.77,112.5,Moderate
Mumbai,2015-10-27,451.2,450.1,102.9,37.9,166.5,27.4,4.69,37.6,103.5,13.41,15.28,8.72,91.4,Good
Chennai,2015-10-27,44.2,61.2,93.6,146.1,194.1,26.4,1.44,97.3,149.6,4.41,12.56,1.86,273.3,Severe
Kolkata,2015-10-27,375.0,578.3,49.9,26.8,135.8,20.8,5.55,58.9,85.3,11.3,21.64,9.62,317.1,Severe
Bangalore,2015-10-27,254.3,498.3,113.4,80.4,244.5,46.3,1.63,87.1,44.5,0.97,20.63,1.07,464.0,Moderate
Delhi,2015-10-28,157.1,598.5,86.7,111.1,176.3,39.9,6.16,73.0,22.7,6.66,8.01,8.1,225.2,Severe
Mumbai,2015-10-28,129.0,492.3,80.1,49.7,58.1,41.5,5.95,96.1,140.9,10.14,8.42,0.24,134.1,Severe
Chennai,2015-10-28,0.9,125.3,100.1,21.3,83.8,18.5,8.64,96.0,152.5,12.61,29.63,6.71,389.0,Severe
Kolkata,2015-10-28,96.1,169.8,127.5,16.1,210.7,46.2,3.88,74.9,65.7,3.82,12.4,2.32,396.7,Satisfactory
Bangalore,2015-10-28,67.2,230.1,173.5,11.6,63.1,37.0,4.4,17.5,58.9,3.96,10.94,4.14,119.3,Severe
Delhi,2015-10-29,171.1,229.7,76.5,141.7,139.5,41.4,6.22,60.3,79.2,8.4,20.26,9.65,428.8,Satisfactory
Mumbai,2015-10-29,204.0,268.4,142.1,32.6,80.6,3.3,9.09,85.5,108.6,18.0,4.5,4.64,129.6,Poor
Chennai,2015-10-29,137.1,528.8,88.8,42.4,117.8,15.0,5.91,42.8,126.4,16.77,15.44,1.74,25.1,Satisfactory
Kolkata,2015-10-29,429.0,201.7,175.5,75.3,166.3,25.9,5.64,56.4,159.5,8.89,29.79,8.85,287.5,Poor
Bangalore,2015-10-29,179.0,385.7,115.2,82.3,64.5,46.2,1.25,7.6,171.3,17.43,8.86,5.58,288.7,Moderate
Delhi,2015-10-30,38.1,252.8,55.6,108.4,49.4,25.2,9.22,22.9,171.5,15.23,29.16,5.27,181.4,Moderate
Mumbai,2015-10-30,475.7,48.4,96.8,50.7,115.4,7.5,7.11,3.1,73.2,10.74,10.94,4.28,498.5,Poor
Chennai,2015-10-30,119.4,81.3,125.3,6.3,148.0,22.2,6.93,99.4,20.0,18.54,0.7,5.28,42.6,Very Poor
Kolkata,2015-10-30,421.2,84.3,33.4,113.4,18.0,18.1,7.03,51.4,133.0,5.01,10.44,7.19,353.2,Poor
Bangalore,2015-10-30,361.8,184.8,137.2,15.5,177.3,11.1,7.37,87.4,153.1,11.26,13.0,4.21,73.1,Good
Delhi,2015-10-31,302.1,231.2,88.4,5.6,83.2,44.0,0.44,12.6,73.5,5.53,11.3,9.32,342.4,Moderate
Mumbai,2015-10-31,139.4,220.5,100.4,90.2,191.0,12.9,0.42,63.3,176.4,15.96,2.7,9.88,278.0,Good
Chennai,2015-10-31,266.9,388.5,97.0,64.8,235.1,21.0,9.6,86.6,40.9,5.49,10.95,9.91,390.6,Poor
Kolkata,2015-10-31,290.9,427.4,141.3,97.9,173.5,43.6,9.39,51.2,113.9,19.28,19.79,0.42,196.0,Satisfactory
Bangalore,2015-10-31,398.7,70.4,186.7,74.6,40.2,31.3,9.27,4.6,28.6,12.2,26.85,0.34,412.6,Moderate
Delhi,2015-11-01,294.9,348.1,192.5,111.1,198.8,22.6,3.77,48.7,7.6,6.82,18.37,4.88,221.9,Moderate
